=== bce_dice-transpose-half_shallow-s42-55dfa7 === 28,088,513 tham số, thiết bị cuda
epoch  57/120 | train 0.1689 | val 0.1814 | val dice 0.8363 | val iou 0.7549
epoch  58/120 | train 0.1728 | val 0.2153 | val dice 0.7965 | val iou 0.7132
epoch  59/120 | train 0.1663 | val 0.1897 | val dice 0.8285 | val iou 0.7472
epoch  60/120 | train 0.1719 | val 0.2151 | val dice 0.8008 | val iou 0.7099
epoch  61/120 | train 0.1785 | val 0.1947 | val dice 0.8262 | val iou 0.7381
epoch  62/120 | train 0.1639 | val 0.1786 | val dice 0.8398 | val iou 0.7524
epoch  63/120 | train 0.1663 | val 0.1888 | val dice 0.8298 | val iou 0.7452
epoch  64/120 | train 0.1622 | val 0.1957 | val dice 0.8269 | val iou 0.7455
epoch  65/120 | train 0.1580 | val 0.1742 | val dice 0.8471 | val iou 0.7640 *
epoch  66/120 | train 0.1490 | val 0.1795 | val dice 0.8427 | val iou 0.7648
epoch  67/120 | train 0.1482 | val 0.1798 | val dice 0.8355 | val iou 0.7591
epoch  68/120 | train 0.1480 | val 0.1680 | val dice 0.8500 | val iou 0.7716 *
epoch  69/120 | train 0.1434 | val 0.1614 | val dice 0.8571 | val iou 0.7792 *
epoch  70/120 | train 0.1456 | val 0.1569 | val dice 0.8622 | val iou 0.7899 *
epoch  71/120 | train 0.1378 | val 0.1612 | val dice 0.8579 | val iou 0.7843
epoch  72/120 | train 0.1422 | val 0.2101 | val dice 0.8086 | val iou 0.7303
epoch  73/120 | train 0.1305 | val 0.1643 | val dice 0.8560 | val iou 0.7818
epoch  74/120 | train 0.1271 | val 0.1566 | val dice 0.8692 | val iou 0.7967 *
epoch  75/120 | train 0.1302 | val 0.1616 | val dice 0.8630 | val iou 0.7918
epoch  76/120 | train 0.1253 | val 0.1666 | val dice 0.8577 | val iou 0.7831
epoch  77/120 | train 0.1222 | val 0.1757 | val dice 0.8486 | val iou 0.7749
epoch  78/120 | train 0.1223 | val 0.1693 | val dice 0.8551 | val iou 0.7857
epoch  79/120 | train 0.1203 | val 0.1800 | val dice 0.8398 | val iou 0.7656
epoch  80/120 | train 0.1151 | val 0.1542 | val dice 0.8638 | val iou 0.7976
epoch  81/120 | train 0.1157 | val 0.1565 | val dice 0.8563 | val iou 0.7832
epoch  82/120 | train 0.1145 | val 0.1487 | val dice 0.8707 | val iou 0.8012 *
epoch  83/120 | train 0.1070 | val 0.1590 | val dice 0.8614 | val iou 0.7955
epoch  84/120 | train 0.1051 | val 0.1500 | val dice 0.8701 | val iou 0.8002
epoch  85/120 | train 0.1073 | val 0.1559 | val dice 0.8578 | val iou 0.7834
epoch  86/120 | train 0.1013 | val 0.1579 | val dice 0.8634 | val iou 0.7936
epoch  87/120 | train 0.1028 | val 0.1551 | val dice 0.8647 | val iou 0.7920
epoch  88/120 | train 0.1037 | val 0.1567 | val dice 0.8580 | val iou 0.7847
epoch  89/120 | train 0.0949 | val 0.1821 | val dice 0.8426 | val iou 0.7696
epoch  90/120 | train 0.0962 | val 0.1546 | val dice 0.8649 | val iou 0.7944
epoch  91/120 | train 0.0944 | val 0.1658 | val dice 0.8524 | val iou 0.7755
epoch  92/120 | train 0.0961 | val 0.1509 | val dice 0.8665 | val iou 0.7962
epoch  93/120 | train 0.0875 | val 0.1644 | val dice 0.8601 | val iou 0.7928
epoch  94/120 | train 0.0846 | val 0.1587 | val dice 0.8627 | val iou 0.7922
epoch  95/120 | train 0.0857 | val 0.1590 | val dice 0.8622 | val iou 0.7924
epoch  96/120 | train 0.0849 | val 0.1572 | val dice 0.8647 | val iou 0.7944
epoch  97/120 | train 0.0806 | val 0.1544 | val dice 0.8647 | val iou 0.7950
epoch  98/120 | train 0.0788 | val 0.1607 | val dice 0.8560 | val iou 0.7828
epoch  99/120 | train 0.0780 | val 0.1623 | val dice 0.8661 | val iou 0.7943
epoch 100/120 | train 0.0795 | val 0.1630 | val dice 0.8605 | val iou 0.7899
epoch 101/120 | train 0.0735 | val 0.1589 | val dice 0.8631 | val iou 0.7939
epoch 102/120 | train 0.0761 | val 0.1593 | val dice 0.8620 | val iou 0.7941
Dừng sớm ở epoch 102 (không cải thiện 20 epoch).
TEST  Dice 0.8387 | IoU 0.7681 | P 0.9004 | R 0.7900
=== bce_dice-transpose-full-s1337-4ba512 === 31,037,633 tham số, thiết bị cuda
epoch   1/120 | train 0.6499 | val 0.5650 | val dice 0.4162 | val iou 0.2857 *
epoch   2/120 | train 0.5607 | val 0.5410 | val dice 0.3540 | val iou 0.2366
epoch   3/120 | train 0.5309 | val 0.5700 | val dice 0.4751 | val iou 0.3408 *
epoch   4/120 | train 0.5096 | val 0.5342 | val dice 0.4652 | val iou 0.3282
epoch   5/120 | train 0.5041 | val 0.4903 | val dice 0.4991 | val iou 0.3627 *
epoch   6/120 | train 0.4968 | val 0.4601 | val dice 0.4807 | val iou 0.3445
epoch   7/120 | train 0.4804 | val 0.4806 | val dice 0.4420 | val iou 0.3171
epoch   8/120 | train 0.4747 | val 0.4810 | val dice 0.4358 | val iou 0.3123
epoch   9/120 | train 0.4763 | val 0.4388 | val dice 0.5527 | val iou 0.4100 *
epoch  10/120 | train 0.4665 | val 0.4336 | val dice 0.5327 | val iou 0.3922
epoch  11/120 | train 0.4619 | val 0.5860 | val dice 0.4702 | val iou 0.3329
epoch  12/120 | train 0.4671 | val 0.4428 | val dice 0.5607 | val iou 0.4193 *
epoch  13/120 | train 0.4435 | val 0.5380 | val dice 0.3258 | val iou 0.2325
epoch  14/120 | train 0.4461 | val 0.5074 | val dice 0.3700 | val iou 0.2596
epoch  15/120 | train 0.4404 | val 0.4064 | val dice 0.5917 | val iou 0.4498 *
epoch  16/120 | train 0.4274 | val 0.4335 | val dice 0.5033 | val iou 0.3752
epoch  17/120 | train 0.4198 | val 0.4059 | val dice 0.5596 | val iou 0.4272
epoch  18/120 | train 0.4223 | val 0.4167 | val dice 0.5620 | val iou 0.4268
epoch  19/120 | train 0.4141 | val 0.4153 | val dice 0.5847 | val iou 0.4439
epoch  20/120 | train 0.4169 | val 0.3957 | val dice 0.6036 | val iou 0.4659 *
epoch  21/120 | train 0.4015 | val 0.3854 | val dice 0.5956 | val iou 0.4609
epoch  22/120 | train 0.3999 | val 0.3902 | val dice 0.5856 | val iou 0.4547
epoch  23/120 | train 0.3911 | val 0.3695 | val dice 0.6274 | val iou 0.4917 *
epoch  24/120 | train 0.3974 | val 0.4557 | val dice 0.5989 | val iou 0.4597
epoch  25/120 | train 0.3927 | val 0.3770 | val dice 0.5891 | val iou 0.4641
epoch  26/120 | train 0.3783 | val 0.4066 | val dice 0.5299 | val iou 0.4122
epoch  27/120 | train 0.3770 | val 0.3714 | val dice 0.6285 | val iou 0.5008 *
epoch  28/120 | train 0.3630 | val 0.3481 | val dice 0.6414 | val iou 0.5124 *
epoch  29/120 | train 0.3559 | val 0.3404 | val dice 0.6605 | val iou 0.5382 *
epoch  30/120 | train 0.3385 | val 0.3333 | val dice 0.6687 | val iou 0.5455 *
epoch  31/120 | train 0.3251 | val 0.3474 | val dice 0.6825 | val iou 0.5499 *
epoch  32/120 | train 0.3128 | val 0.2934 | val dice 0.7161 | val iou 0.5927 *
epoch  33/120 | train 0.3022 | val 0.3536 | val dice 0.6379 | val iou 0.5196
epoch  34/120 | train 0.2901 | val 0.2922 | val dice 0.7093 | val iou 0.5958
epoch  35/120 | train 0.2882 | val 0.2786 | val dice 0.7420 | val iou 0.6221 *
